date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:08:52	93455/93455	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2017:01:46%20GMT	https://elevateco.my.canva.site/	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/index.html	(from )
23:08:52	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Apr%202023%2017:39:06%20GMT	https://elevateco.my.canva.site/robots.txt		(from )
23:08:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:06%20GMT	http://elevateco.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.0.delayed	(from https://elevateco.my.canva.site/)
23:08:53	510/510	---MC-	200	added ('OK')	image/png	date:Tue,%2011%20Apr%202023%2017:29:17%20GMT	https://elevateco.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	(from https://elevateco.my.canva.site/)
23:08:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:06%20GMT	http://elevateco.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://elevateco.my.canva.site/)
23:08:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:07%20GMT	http://elevateco.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://elevateco.my.canva.site/)
23:08:54	1053/1053	---MC-	200	added ('OK')	image/png	date:Tue,%2011%20Apr%202023%2017:39:07%20GMT	https://elevateco.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://elevateco.my.canva.site/)
23:08:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:08%20GMT	http://elevateco.my.canva.site/fonts/e609efb90aabe72475bbbd19aeb1de0e.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/e609efb90aabe72475bbbd19aeb1de0e.woff2	(from https://elevateco.my.canva.site/)
23:08:54	6245/6245	---MC-	200	added ('OK')	image/png	date:Tue,%2011%20Apr%202023%2017:39:08%20GMT	https://elevateco.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://elevateco.my.canva.site/)
23:08:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:09%20GMT	http://elevateco.my.canva.site/fonts/450d7530ab7aee079f9640de21748c69.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/450d7530ab7aee079f9640de21748c69.woff2	(from https://elevateco.my.canva.site/)
23:08:55	108044/108044	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2011%20Apr%202023%2017:39:09%20GMT	https://elevateco.my.canva.site/fonts/e609efb90aabe72475bbbd19aeb1de0e.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/e609efb90aabe72475bbbd19aeb1de0e.woff2	(from https://elevateco.my.canva.site/)
23:08:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:10%20GMT	http://elevateco.my.canva.site/fonts/0c30ae34d9942e4c0d4e05b117076178.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/0c30ae34d9942e4c0d4e05b117076178.woff2	(from https://elevateco.my.canva.site/)
23:08:56	113660/113660	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2011%20Apr%202023%2017:39:10%20GMT	https://elevateco.my.canva.site/fonts/450d7530ab7aee079f9640de21748c69.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/450d7530ab7aee079f9640de21748c69.woff2	(from https://elevateco.my.canva.site/)
23:08:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:11%20GMT	http://elevateco.my.canva.site/fonts/5dc1b946751dc83055dd7770bac07b0e.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/5dc1b946751dc83055dd7770bac07b0e.woff2	(from https://elevateco.my.canva.site/)
23:08:58	37256/37256	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2011%20Apr%202023%2017:39:11%20GMT	https://elevateco.my.canva.site/fonts/0c30ae34d9942e4c0d4e05b117076178.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/0c30ae34d9942e4c0d4e05b117076178.woff2	(from https://elevateco.my.canva.site/)
23:08:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:12%20GMT	http://elevateco.my.canva.site/fonts/dbaccbc0cd9dbaa7aa61f3c1713277ae.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/dbaccbc0cd9dbaa7aa61f3c1713277ae.woff2	(from https://elevateco.my.canva.site/)
23:08:59	37372/37372	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2011%20Apr%202023%2017:39:12%20GMT	https://elevateco.my.canva.site/fonts/5dc1b946751dc83055dd7770bac07b0e.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/5dc1b946751dc83055dd7770bac07b0e.woff2	(from https://elevateco.my.canva.site/)
23:09:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:13%20GMT	http://elevateco.my.canva.site/fonts/2df87c0acdee4560b1b2ba4f5f0a3d8b.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/2df87c0acdee4560b1b2ba4f5f0a3d8b.woff2	(from https://elevateco.my.canva.site/)
23:09:00	40676/40676	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2011%20Apr%202023%2017:39:13%20GMT	https://elevateco.my.canva.site/fonts/dbaccbc0cd9dbaa7aa61f3c1713277ae.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/dbaccbc0cd9dbaa7aa61f3c1713277ae.woff2	(from https://elevateco.my.canva.site/)
23:09:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:14%20GMT	http://elevateco.my.canva.site/fonts/38f148af1ef576b1c2e82b6731257f81.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/38f148af1ef576b1c2e82b6731257f81.woff2	(from https://elevateco.my.canva.site/)
23:09:01	41144/41144	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2011%20Apr%202023%2017:39:14%20GMT	https://elevateco.my.canva.site/fonts/2df87c0acdee4560b1b2ba4f5f0a3d8b.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/2df87c0acdee4560b1b2ba4f5f0a3d8b.woff2	(from https://elevateco.my.canva.site/)
23:09:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:15%20GMT	http://elevateco.my.canva.site/fonts/8e814314c32a6a064af5309568eb94be.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/8e814314c32a6a064af5309568eb94be.woff2	(from https://elevateco.my.canva.site/)
23:09:02	36596/36596	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2011%20Apr%202023%2017:39:15%20GMT	https://elevateco.my.canva.site/fonts/38f148af1ef576b1c2e82b6731257f81.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/38f148af1ef576b1c2e82b6731257f81.woff2	(from https://elevateco.my.canva.site/)
23:09:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:16%20GMT	http://elevateco.my.canva.site/fonts/8258299ad2ba4c9fecfad42aef6432c6.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/8258299ad2ba4c9fecfad42aef6432c6.woff2	(from https://elevateco.my.canva.site/)
23:09:03	36732/36732	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2011%20Apr%202023%2017:39:16%20GMT	https://elevateco.my.canva.site/fonts/8e814314c32a6a064af5309568eb94be.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/8e814314c32a6a064af5309568eb94be.woff2	(from https://elevateco.my.canva.site/)
23:09:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:18%20GMT	http://elevateco.my.canva.site/fonts/2f8151adc04699db84c0c72f0a1d40c7.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/2f8151adc04699db84c0c72f0a1d40c7.woff2	(from https://elevateco.my.canva.site/)
23:09:04	38840/38840	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2011%20Apr%202023%2017:39:18%20GMT	https://elevateco.my.canva.site/fonts/8258299ad2ba4c9fecfad42aef6432c6.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/8258299ad2ba4c9fecfad42aef6432c6.woff2	(from https://elevateco.my.canva.site/)
23:09:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:19%20GMT	http://elevateco.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://elevateco.my.canva.site/)
23:09:06	40272/40272	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2011%20Apr%202023%2017:39:19%20GMT	https://elevateco.my.canva.site/fonts/2f8151adc04699db84c0c72f0a1d40c7.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/2f8151adc04699db84c0c72f0a1d40c7.woff2	(from https://elevateco.my.canva.site/)
23:09:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:20%20GMT	http://elevateco.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://elevateco.my.canva.site/)
23:09:07	194188/194188	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2011%20Apr%202023%2017:39:20%20GMT	https://elevateco.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://elevateco.my.canva.site/)
23:09:08	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2017:39:21%20GMT	http://elevateco.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://elevateco.my.canva.site/)
23:09:08	194064/194064	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2011%20Apr%202023%2017:39:21%20GMT	https://elevateco.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/My%20Web%20Sites/KyobiTravel/elevateco.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://elevateco.my.canva.site/)
